day	mouse	fr	gr	arE/pr	arF/pr	arG/pr
28.03.2022	1	1	c	86366.4562	72855.9742	62655.7671
28.03.2022	2	1	cg	65541.7897	66413.9134	67645.2843
28.03.2022	3	1	a	44174.695	45652.7971	51559.3309
28.03.2022	4	1	ag	37848.9814	36325.0921	38372.8021
28.03.2022	1	2	c	55867.8325	58648.0973	57143.0971
28.03.2022	2	2	cg	3980.34516	5208.45916	6842.29042
28.03.2022	3	2	a	170544.283	165738.143	163503.586
28.03.2022	4	2	ag	164061.449	164803.591	166517.775
28.03.2022	1	3	c	266479.339	266336.954	271601.577
28.03.2022	2	3	cg	83894.5819	83241.4023	84780.294
28.03.2022	3	3	a	86049.9909	84556.1197	86965.081
28.03.2022	4	3	ag	81638.3398	83086.3209	83240.809
29.03.2022	1	1	ag	115841.858	108118.872	106219.576
29.03.2022	2	1	a	120501.85	120194.508	125339.971
29.03.2022	3	1	cg	162083.962	62804.8331	60615.8331
29.03.2022	4	1	c	64770.822	64376.1113	66936.8739
29.03.2022	1	2	ag	65486.5122	65616.0413	67511.6155
29.03.2022	2	2	a	69826.7508	70280.7473	73147.2721
29.03.2022	3	2	cg	91918.8581	88330.8151	87138.3229
29.03.2022	4	2	c	79910.7808	75555.3224	79427.3756
29.03.2022	1	3	ag	69354.157	69762.1701	69961.1239
29.03.2022	2	3	a	72805.6101	70002.231	68003.4918
29.03.2022	3	3	cg	53816.0479	49787.76	51522.2371
29.03.2022	4	3	c	56599.5701	52563.357	54790.0554
31.03.2022	1	1	c	77350.9973	74794.6436	76138.5514
31.03.2022	2	1	cg	169575.817	164331.519	165946.67
31.03.2022	3	1	a	222592.51	216237.719	216215.708
31.03.2022	4	1	ag	178101.272	171641.766	177682.693
31.03.2022	1	2	c	90108.6168	88721.4589	90742.1324
31.03.2022	2	2	cg	94874.0751	92563.291	94527.9151
31.03.2022	3	2	a	61329.4709	61206.6788	54742.329
31.03.2022	4	2	ag	123881.853	121611.605	125489.039
31.03.2022	1	3	c	256328.493	248749.914	220400.634
31.03.2022	2	3	cg	100121.741	97952.519	101311.024
31.03.2022	3	3	a	72229.2677	70961.0389	74136.3966
31.03.2022	4	3	ag	95102.8044	93250.7505	96601.1006
05.04.2022	1	1	ag	68578.5359	67774.0907	70033.166
05.04.2022	2	1	a	77733.8886	76040.117	76201.1768
05.04.2022	3	1	cg	157680.069	152818.811	150450.486
05.04.2022	4	1	c	68322.4927	66115.2416	67906.7069
05.04.2022	1	2	ag	53926.5638	53488.911	51429.0882
05.04.2022	2	2	a	56012.1174	54183.1302	54731.6324
05.04.2022	3	2	cg	76045.905	77140.4597	78880.4977
05.04.2022	4	2	c	218811.659	220384.713	239292.17
05.04.2022	1	3	ag	202349.247	190669.668	158063.295
05.04.2022	2	3	a	125790.963	123312.999	128369.526
05.04.2022	3	3	cg	111041.915	115072.985	117655.602
05.04.2022	4	3	c	87925.2273	87819.0998	89372.5079
09.04.2022	1	1	c	95516.5397	100353.293	90699.6409
09.04.2022	2	1	cg	123540.064	123664.171	128182.595
09.04.2022	3	1	a	56176.3042	48560.8001	53163.108
09.04.2022	4	1	ag	94018.0922	92953.3531	97111.1339
09.04.2022	1	2	c	80329.0312	80457.9598	83776.418
09.04.2022	2	2	cg	89896.5593	88607.9124	93463.8179
09.04.2022	3	2	a	43141.3453	41835.5465	42611.2807
09.04.2022	4	2	ag	107328.476	103471.858	105336.046
09.04.2022	1	3	c	74315.4762	100702.774	101027.294
09.04.2022	2	3	cg	65853.8579	63120.6403	65898.3841
09.04.2022	3	3	a	71157.5489	69450.4149	65866.071
09.04.2022	4	3	ag	46911.6223	44525.4304	45328.5324
12.04.2022	1	1	ag	170058.687	159185.505	92295.299
12.04.2022	2	1	a	206453.091	203054.113	207826.727
12.04.2022	3	1	cg	256078.888	226125.743	126709.623
12.04.2022	4	1	c	72445.3486	63136.0603	71424.326
12.04.2022	1	2	ag	78698.7056	80392.4634	92935.0564
12.04.2022	2	2	a	101308.331	98676.6724	99852.7527
12.04.2022	3	2	cg	134284.062	127497.684	127858.529
12.04.2022	4	2	c	155311.996	151996.878	156217.957
12.04.2022	1	3	ag	886.07934	152.442632	350.397785
12.04.2022	2	3	a	85694.9579	84733.9556	87532.8529
12.04.2022	3	3	cg	68653.0917	67229.5186	68663.8481
12.04.2022	4	3	c	98811.2001	96244.4561	100520.522
