day	mouse	gr	f1_GSHmed	f1_GSHavg	f1_arE	f1_arF	f1_arG	f1_lipoxy	f2_GSHmed	f2_GSHavg	f2_arE	f2_arF	f2_arG	f2_lipoxy	f3_GSHmed	f3_GSHavg	f3_arE	f3_arF	f3_arG	f3_lipoxy
328	1	c	0.93243243	1.37787788	86366.4562	72855.9742	62655.7671	0.040540541	0.39716312	0.36249015	55867.8325	58648.0973	57143.0971	0.127659574	2.62721893	2.61893491	266479.339	266336.954	271601.577	0.071005917
328	2	cg	1.20987654	2.91056241	65541.7897	66413.9134	67645.2843	0.098765432	2.30674847	2.29202454	3980.34516	5208.45916	6842.29042	0.147239264	1.07092199	1.52521671	83894.5819	83241.4023	84780.294	0.085106383
328	3	a	2.46703297	2.47435897	44174.695	45652.7971	51559.3309	0.098901099	0.68214286	0.77396825	170544.283	165738.143	163503.586	0.117857143	1.10596026	1.06931567	86049.9909	84556.1197	86965.081	0.072847682
328	4	ag	2.77472527	2.88449328	37848.9814	36325.0921	38372.8021	0.115384615	0.66470588	0.54640523	164061.449	164803.591	166517.775	0.064705882	2.64102564	2.6457265	81638.3398	83086.3209	83240.809	0.096153846
329	1	ag	2.18072289	1.85131638	115841.858	108118.872	106219.576	0.116465863	1.28275862	1.28842912	65486.5122	65616.0413	67511.6155	0.220689655	2.27564103	2.26111111	69354.157	69762.1701	69961.1239	0.057692308
329	2	a	1.35915493	1.31502347	120501.85	120194.508	125339.971	0.218309859	2.35185185	2.31207133	69826.7508	70280.7473	73147.2721	0.061728395	3.24719101	3.21548065	72805.6101	70002.231	68003.4918	0.168539326
329	3	cg	2.33333333	2.3122963	162083.962	62804.8331	60615.8331	0.093333333	2.08540925	2.09616449	91918.8581	88330.8151	87138.3229	0.071174377	1.28275862	1.28291188	53816.0479	49787.76	51522.2371	0.206896552
329	4	c	3.37912088	3.39255189	64770.822	64376.1113	66936.8739	0.071428571	1.43125	1.42944444	79910.7808	75555.3224	79427.3756	0.225	2.41509434	2.41481481	56599.5701	52563.357	54790.0554	0.06918239
331	1	c	5.47445255	5.47542579	77350.9973	74794.6436	76138.5514	NA	1.88172043	1.88506571	90108.6168	88721.4589	90742.1324	NA	1.65671642	1.65483693	256328.493	248749.914	220400.634	NA
331	2	cg	2.20481928	2.21151272	169575.817	164331.519	165946.67	NA	5.52380952	5.54038801	94874.0751	92563.291	94527.9151	NA	5.18934911	5.13675214	100121.741	97952.519	101311.024	NA
331	3	a	4.04166667	4.02175926	222592.51	216237.719	216215.708	NA	6.83168317	6.5760176	61329.4709	61206.6788	54742.329	NA	2.30864198	2.36076818	72229.2677	70961.0389	74136.3966	NA
331	4	ag	4.14136126	4.06131472	178101.272	171641.766	177682.693	NA	1.84782609	1.85338164	123881.853	121611.605	125489.039	NA	4.29807692	4.26111111	95102.8044	93250.7505	96601.1006	NA
405	1	ag	2.27009646	2.27824223	68578.5359	67774.0907	70033.166	0.144694534	1.10526316	1.10409357	53926.5638	53488.911	51429.0882	0.368421053	2.11875	2.02486111	202349.247	190669.668	158063.295	0.25
405	2	a	1.03947368	1.03304094	77733.8886	76040.117	76201.1768	0.361842105	2.19018405	2.18950239	56012.1174	54183.1302	54731.6324	0.220858896	2.78354978	2.80808081	125790.963	123312.999	128369.526	0.19047619
405	3	cg	1.89189189	1.89861862	157680.069	152818.811	150450.486	0.216216216	3.68446602	3.52686084	76045.905	77140.4597	78880.4977	0.174757282	1.06040268	1.05727069	111041.915	115072.985	117655.602	0.369127517
405	4	c	3.34615385	3.37977208	68322.4927	66115.2416	67906.7069	0.175213675	1.08783784	1.08858859	218811.659	220384.713	239292.17	0.277027027	2.12290503	2.10366232	87925.2273	87819.0998	89372.5079	0.251396648
409	1	c	3.40566038	3.37672956	95516.5397	100353.293	90699.6409	0.264150943	1.13103448	1.13042146	80329.0312	80457.9598	83776.418	0.24137931	2.37912088	2.35653236	74315.4762	100702.774	101027.294	0.236263736
409	2	cg	1.18055556	1.175	123540.064	123664.171	128182.595	0.222222222	2.28402367	2.28454964	89896.5593	88607.9124	93463.8179	0.236686391	3.93269231	3.74391026	65853.8579	63120.6403	65898.3841	0.259615385
409	3	a	2.08092486	2.07103404	56176.3042	48560.8001	53163.108	0.231213873	3.63033175	3.61590311	43141.3453	41835.5465	42611.2807	0.27014218	1.125	1.12530864	71157.5489	69450.4149	65866.071	0.215277778
409	4	ag	3.51658768	3.45255398	94018.0922	92953.3531	97111.1339	0.289099526	1.1503268	1.15410312	107328.476	103471.858	105336.046	0.261437908	2.26506024	2.2562249	46911.6223	44525.4304	45328.5324	0.277108434
412	1	ag	2.00952381	1.97749559	170058.687	159185.505	92295.299	0.044444444	0.89719626	0.89875389	78698.7056	80392.4634	92935.0564	0.102803738	1.60747664	1.57673936	886.07934	152.442632	350.397785	0.08411215
412	2	a	0.82439024	0.82720867	206453.091	203054.113	207826.727	0.087804878	2.03508772	2.03304094	101308.331	98676.6724	99852.7527	0.078947368	1.95882353	1.95444444	85694.9579	84733.9556	87532.8529	0.055882353
412	3	cg	1.62555066	1.63387176	256078.888	226125.743	126709.623	0.070484581	2.05597015	2.05820896	134284.062	127497.684	127858.529	0.059701493	0.91534392	0.91499118	68653.0917	67229.5186	68663.8481	0.111111111
412	4	c	2.51779935	2.46012226	72445.3486	63136.0603	71424.326	0.064724919	0.89010989	0.88888889	155311.996	151996.878	156217.957	0.10989011	1.41452991	1.42668566	98811.2001	96244.4561	100520.522	0.081196581
