№ mouse	Slice	Count	Total Area	Average Size	%Area	Perim	Average Size(мкм)
a3	Result of DSC06312.JPG	187	1056177	5648,005	5,330	1103,403	564,8005
a3	Result of DSC06339.JPG	144	948296	6585,389	4,785	1196,863	658,5389
a3	Result of DSC06340.JPG	140	898824	6420,171	4,536	1194,162	642,0171
a3	Result of DSC06341.JPG	150	922329	6148,86	4,654	1096,244	614,886
a3	Result of DSC06342.JPG	164	1111000	6774,39	5,607	1170,544	677,439
a3	Result of DSC06343.JPG	118	630040	5339,322	3,179	1001,841	533,9322
a3	Result of DSC06344.JPG	116	522590	4505,086	2,637	911,384	450,5086
a3	Result of DSC06349.JPG	117	566524	4842,085	2,859	968,404	484,2085
a3	Result of DSC06352.JPG	151	842979	5582,642	4,254	1076,826	558,2642
a3	Result of DSC06355.JPG	170	1064025	6258,971	5,369	1134,497	625,8971
a3	Result of DSC06358.JPG	180	1270947	7060,817	6,414	1268,893	706,0817
a4	Result of DSC06501.JPG	157	2192010	13961,847	11,062	1837,734	1396,1847
a4	Result of DSC06502.JPG	195	2694071	13815,749	13,595	1851,856	1381,5749
a5	Result of DSC06376.JPG	121	861194	7117,306	4,346	1227,502	711,7306
a5	Result of DSC06377.JPG	110	714785	6498,045	3,607	1069,573	649,8045
a5	Result of DSC06381.JPG	118	769775	6523,517	3,885	1114,937	652,3517
a5	Result of DSC06382.JPG	108	691108	6399,148	3,488	1125,767	639,9148
a5	Result of DSC06386.JPG	73	378723	5187,986	1,911	957,917	518,7986
a5	Result of DSC06387.JPG	87	512773	5893,943	2,588	1111,882	589,3943
a6	Result of DSC06395.JPG	64	312339	4880,297	1,576	853,073	488,0297
a6	Result of DSC06396.JPG	60	308330	5138,833	1,556	876,922	513,8833
a6	Result of DSC06507.JPG	184	2184712	11873,435	11,025	1889,905	1187,3435
a6	Result of DSC06508.JPG	199	2504635	12586,106	12,639	1926,922	1258,6106
