day	mouse	fr	gr	gsh_med/pr
0328	1	1	c	0.932432432
0328	2	1	cg	1.209876543
0328	3	1	a	2.467032967
0328	4	1	ag	2.774725275
0328	1	2	c	0.397163121
0328	2	2	cg	2.306748466
0328	3	2	a	0.682142857
0328	4	2	ag	0.664705882
0328	1	3	c	2.627218935
0328	2	3	cg	1.070921986
0328	3	3	a	1.105960265
0328	4	3	ag	2.641025641
0329	1	1	ag	2.180722892
0329	2	1	a	1.35915493
0329	3	1	cg	2.333333333
0329	4	1	c	3.379120879
0329	1	2	ag	1.282758621
0329	2	2	a	2.351851852
0329	3	2	cg	2,085409253
0329	4	2	c	1.43125
0329	1	3	ag	2.275641026
0329	2	3	a	3.247191011
0329	3	3	cg	1.282758621
0329	4	3	c	2.41509434
0331	1	1	c	5.474452555
0331	2	1	cg	2.204819277
0331	3	1	a	4.041666667
0331	4	1	ag	4.141361257
0331	1	2	c	1.88172043
0331	2	2	cg	5.523809524
0331	3	2	a	6.831683168
0331	4	2	ag	1.847826087
0331	1	3	c	1.656716418
0331	2	3	cg	5.189349112
0331	3	3	a	2.308641975
0331	4	3	ag	4.298076923
0405	1	1	ag	2.270096463
0405	2	1	a	1.039473684
0405	3	1	cg	1.891891892
0405	4	1	c	3.346153846
0405	1	2	ag	1.105263158
0405	2	2	a	2.190184049
0405	3	2	cg	3.684466019
0405	4	2	c	1.087837838
0405	1	3	ag	2.11875
0405	2	3	a	2.783549784
0405	3	3	cg	1.060402685
0405	4	3	c	2.122905028
0409	1	1	c	3.405660377
0409	2	1	cg	1.180555556
0409	3	1	a	2.080924855
0409	4	1	ag	3,516587678
0409	1	2	c	1.131034483
0409	2	2	cg	2.284023669
0409	3	2	a	3.630331754
0409	4	2	ag	1.150326797
0409	1	3	c	2.379120879
0409	2	3	cg	3.932692308
0409	3	3	a	1.125
0409	4	3	ag	2.265060241
0412	1	1	ag	2.00952381
0412	2	1	a	0.824390244
0412	3	1	cg	1.625550661
0412	4	1	c	2.517799353
0412	1	2	ag	0.897196262
0412	2	2	a	2.035087719
0412	3	2	cg	2.055970149
0412	4	2	c	0.89010989
0412	1	3	ag	1.607476636
0412	2	3	a	1.958823529
0412	3	3	cg	0.915343915
0412	4	3	c	1.414529915
