day	mouse	fr	gr	gsh_avg/pr
28.03.2022	1	1	c	1.37787788
28.03.2022	2	1	cg	2.91056241
28.03.2022	3	1	a	2.47435897
28.03.2022	4	1	ag	2.88449328
28.03.2022	1	2	c	0.36249015
28.03.2022	2	2	cg	2.29202454
28.03.2022	3	2	a	0.77396825
28.03.2022	4	2	ag	0.54640523
28.03.2022	1	3	c	2.61893491
28.03.2022	2	3	cg	1.52521671
28.03.2022	3	3	a	1.06931567
28.03.2022	4	3	ag	2.6457265
29.03.2022	1	1	ag	1.85131638
29.03.2022	2	1	a	1.31502347
29.03.2022	3	1	cg	2.3122963
29.03.2022	4	1	c	3.39255189
29.03.2022	1	2	ag	1.28842912
29.03.2022	2	2	a	2.31207133
29.03.2022	3	2	cg	2.09616449
29.03.2022	4	2	c	1.42944444
29.03.2022	1	3	ag	2.26111111
29.03.2022	2	3	a	3.21548065
29.03.2022	3	3	cg	1.28291188
29.03.2022	4	3	c	2.41481481
31.03.2022	1	1	c	5.47542579
31.03.2022	2	1	cg	2.21151272
31.03.2022	3	1	a	4.02175926
31.03.2022	4	1	ag	4.06131472
31.03.2022	1	2	c	1.88506571
31.03.2022	2	2	cg	5.54038801
31.03.2022	3	2	a	6.5760176
31.03.2022	4	2	ag	1.85338164
31.03.2022	1	3	c	1.65483693
31.03.2022	2	3	cg	5.13675214
31.03.2022	3	3	a	2.36076818
31.03.2022	4	3	ag	4.26111111
05.04.2022	1	1	ag	2.27824223
05.04.2022	2	1	a	1.0334
05.04.2022	3	1	cg	1.89861862
05.04.2022	4	1	c	3.37977208
05.04.2022	1	2	ag	1.1357
05.04.2022	2	2	a	2.18950239
05.04.2022	3	2	cg	3.52686084
05.04.2022	4	2	c	1.08858859
05.04.2022	1	3	ag	2.02486111
05.04.2022	2	3	a	2.80808081
05.04.2022	3	3	cg	1.05727069
05.04.2022	4	3	c	2.10366232
09.04.2022	1	1	c	3.37672956
09.04.2022	2	1	cg	1.175
09.04.2022	3	1	a	2.07103404
09.04.2022	4	1	ag	3.45255398
09.04.2022	1	2	c	1.13042146
09.04.2022	2	2	cg	2.28454964
09.04.2022	3	2	a	3.61590311
09.04.2022	4	2	ag	1.15410312
09.04.2022	1	3	c	2.35653236
09.04.2022	2	3	cg	3.74391026
09.04.2022	3	3	a	1.12530864
09.04.2022	4	3	ag	2.2562249
12.04.2022	1	1	ag	1.97749559
12.04.2022	2	1	a	0.82720867
12.04.2022	3	1	cg	1.63387176
12.04.2022	4	1	c	2.46012226
12.04.2022	1	2	ag	0.89875389
12.04.2022	2	2	a	2.0334
12.04.2022	3	2	cg	2.05820896
12.04.2022	4	2	c	0.88888889
12.04.2022	1	3	ag	1.57673936
12.04.2022	2	3	a	1.95444444
12.04.2022	3	3	cg	0.91499118
12.04.2022	4	3	c	1.42668566
