day	mouse	fr	gr	lipoxy/pr
28.03.2022	1	1	c	0.040540541
28.03.2022	2	1	cg	0.098765432
28.03.2022	3	1	a	0.098901099
28.03.2022	4	1	ag	0.115384615
28.03.2022	1	2	c	0.127659574
28.03.2022	2	2	cg	0.147239264
28.03.2022	3	2	a	0.117857143
28.03.2022	4	2	ag	0.064705882
28.03.2022	1	3	c	0.071005917
28.03.2022	2	3	cg	0.085106383
28.03.2022	3	3	a	0.072847682
28.03.2022	4	3	ag	0.096153846
29.03.2022	1	1	ag	0.116465863
29.03.2022	2	1	a	0.218309859
29.03.2022	3	1	cg	0.093333333
29.03.2022	4	1	c	0.071428571
29.03.2022	1	2	ag	0.220689655
29.03.2022	2	2	a	0.061728395
29.03.2022	3	2	cg	0.071174377
29.03.2022	4	2	c	0.225
29.03.2022	1	3	ag	0.057692308
29.03.2022	2	3	a	0.168539326
29.03.2022	3	3	cg	0.206896552
29.03.2022	4	3	c	0.06918239
05.04.2022	1	1	ag	0.144694534
05.04.2022	2	1	a	0.361842105
05.04.2022	3	1	cg	0.216216216
05.04.2022	4	1	c	0.175213675
05.04.2022	1	2	ag	0.368421053
05.04.2022	2	2	a	0.220858896
05.04.2022	3	2	cg	0.174757282
05.04.2022	4	2	c	0.277027027
05.04.2022	1	3	ag	0.25
05.04.2022	2	3	a	0.19047619
05.04.2022	3	3	cg	0.369127517
05.04.2022	4	3	c	0.251396648
09.04.2022	1	1	c	0.264150943
09.04.2022	2	1	cg	0.222222222
09.04.2022	3	1	a	0.231213873
09.04.2022	4	1	ag	0.289099526
09.04.2022	1	2	c	0.24137931
09.04.2022	2	2	cg	0.236686391
09.04.2022	3	2	a	0.27014218
09.04.2022	4	2	ag	0.261437908
09.04.2022	1	3	c	0.236263736
09.04.2022	2	3	cg	0.259615385
09.04.2022	3	3	a	0.215277778
09.04.2022	4	3	ag	0.277108434
12.04.2022	1	1	ag	0.044444444
12.04.2022	2	1	a	0.087804878
12.04.2022	3	1	cg	0.070484581
12.04.2022	4	1	c	0.064724919
12.04.2022	1	2	ag	0.102803738
12.04.2022	2	2	a	0.078947368
12.04.2022	3	2	cg	0.059701493
12.04.2022	4	2	c	0.10989011
12.04.2022	1	3	ag	0.08411215
12.04.2022	2	3	a	0.055882353
12.04.2022	3	3	cg	0.111111111
12.04.2022	4	3	c	0.081196581
